Date,Time,Cal,Uncal
2020/09/27,13:03:14,30,12
2020/09/27,13:03:24,28,11
2020/09/27,13:03:34,28,11
2020/09/27,13:03:44,30,13
2020/09/27,13:03:54,29,15
2020/09/27,13:04:04,29,17
2020/09/27,13:04:14,29,19
2020/09/27,13:04:24,32,17
2020/09/27,13:04:34,35,18
2020/09/27,13:04:44,30,19
2020/09/27,13:04:54,28,19
2020/09/27,13:05:04,33,16
2020/09/27,13:05:14,33,14
2020/09/27,13:05:24,34,17
2020/09/27,13:05:34,41,16
2020/09/27,13:05:44,35,17
2020/09/27,13:05:54,38,17
2020/09/27,13:06:04,34,17
2020/09/27,13:06:14,29,19
2020/09/27,13:06:24,32,22
2020/09/27,13:06:34,29,24
2020/09/27,13:06:44,37,23
2020/09/27,13:06:54,42,20
2020/09/27,13:07:04,38,18
2020/09/27,13:07:14,39,17
2020/09/27,13:07:24,39,17
2020/09/27,13:07:34,39,17
2020/09/27,13:07:44,32,17
2020/09/27,13:07:54,36,14
2020/09/27,13:08:04,37,13
2020/09/27,13:08:14,35,18
2020/09/27,13:08:24,33,19
2020/09/27,13:08:34,29,16
2020/09/27,13:08:44,32,17
2020/09/27,13:08:54,32,15
2020/09/27,13:09:04,29,16
2020/09/27,13:09:14,28,17
2020/09/27,13:09:24,29,20
2020/09/27,13:09:34,30,18
2020/09/27,13:09:44,28,17
2020/09/27,13:09:54,29,14
2020/09/27,13:10:04,30,13
2020/09/27,13:10:14,33,14
2020/09/27,13:10:24,40,16
2020/09/27,13:10:34,34,15
2020/09/27,13:10:44,30,14
2020/09/27,13:10:54,33,17
2020/09/27,13:11:04,30,19
2020/09/27,13:11:14,29,20
2020/09/27,13:11:24,29,17
2020/09/27,13:11:34,30,15
2020/09/27,13:11:44,31,14
2020/09/27,13:11:54,29,12
2020/09/27,13:12:04,33,14
2020/09/27,13:12:14,35,17
2020/09/27,13:12:24,33,16
2020/09/27,13:12:34,28,17
2020/09/27,13:12:44,29,16
2020/09/27,13:12:54,28,16
2020/09/27,13:13:04,30,17
2020/09/27,13:13:14,30,19
2020/09/27,13:13:24,31,17
2020/09/27,13:13:34,28,17
2020/09/27,13:13:44,29,16
2020/09/27,13:13:54,28,17
2020/09/27,13:14:04,31,17
2020/09/27,13:14:14,29,16
2020/09/27,13:14:24,29,16
2020/09/27,13:14:34,30,18
2020/09/27,13:14:44,28,18
2020/09/27,13:14:54,29,18
2020/09/27,13:15:04,29,14
2020/09/27,13:15:14,28,15
2020/09/27,13:15:24,28,13
2020/09/27,13:15:34,29,14
2020/09/27,13:15:44,28,13
2020/09/27,13:15:54,28,13
2020/09/27,13:16:04,28,14
2020/09/27,13:16:14,29,15
2020/09/27,13:16:24,29,14
2020/09/27,13:16:34,28,15
2020/09/27,13:16:44,28,13
2020/09/27,13:16:54,29,12
2020/09/27,13:17:04,28,11
2020/09/27,13:17:14,28,14
2020/09/27,13:17:24,29,15
2020/09/27,13:17:34,30,16
2020/09/27,13:17:44,28,19
2020/09/27,13:17:54,28,23
2020/09/27,13:18:04,30,23
2020/09/27,13:18:14,30,23
2020/09/27,13:18:24,28,20
2020/09/27,13:18:34,29,18
2020/09/27,13:18:44,29,17
2020/09/27,13:18:54,35,19
2020/09/27,13:19:04,30,18
2020/09/27,13:19:14,33,19
2020/09/27,13:19:24,35,17
2020/09/27,13:19:34,37,17
2020/09/27,13:19:44,37,19
2020/09/27,13:19:54,36,21
2020/09/27,13:20:04,38,21
2020/09/27,13:20:14,38,20
2020/09/27,13:20:24,31,18
2020/09/27,13:20:34,30,18
2020/09/27,13:20:44,29,18
2020/09/27,13:20:54,30,18
2020/09/27,13:21:04,28,17
2020/09/27,13:21:14,33,15
2020/09/27,13:21:24,38,16
2020/09/27,13:21:34,40,16
2020/09/27,13:21:44,36,15
2020/09/27,13:21:54,29,14
2020/09/27,13:22:04,32,14
2020/09/27,13:22:14,30,13
2020/09/27,13:22:24,33,14
2020/09/27,13:22:34,30,15
2020/09/27,13:22:44,30,17
2020/09/27,13:22:54,29,14
2020/09/27,13:23:04,31,15
2020/09/27,13:23:14,29,19
2020/09/27,13:23:24,28,16
2020/09/27,13:23:34,29,15
2020/09/27,13:23:44,29,14
2020/09/27,13:23:54,40,16
2020/09/27,13:24:04,32,16
2020/09/27,13:24:14,29,18
2020/09/27,13:24:24,29,18
2020/09/27,13:24:34,29,19
2020/09/27,13:24:44,29,20
2020/09/27,13:24:54,31,16
2020/09/27,13:25:04,30,14
2020/09/27,13:25:14,29,12
2020/09/27,13:25:24,30,11
2020/09/27,13:25:34,32,13
2020/09/27,13:25:44,29,15
2020/09/27,13:25:54,29,16
2020/09/27,13:26:04,99,16
2020/09/27,13:26:14,35,17
2020/09/27,13:26:24,33,18
2020/09/27,13:26:34,30,16
2020/09/27,13:26:44,29,15
2020/09/27,13:26:54,29,14
2020/09/27,13:27:04,28,12
2020/09/27,13:27:14,28,12
2020/09/27,13:27:24,28,11
2020/09/27,13:27:34,28,15
2020/09/27,13:27:44,29,19
2020/09/27,13:27:54,28,17
2020/09/27,13:28:04,28,14
2020/09/27,13:28:14,29,18
2020/09/27,13:28:24,30,19
2020/09/27,13:28:34,28,20
2020/09/27,13:28:44,29,14
2020/09/27,13:28:54,31,14
2020/09/27,13:29:04,30,17
2020/09/27,13:29:14,29,16
2020/09/27,13:29:24,29,14
2020/09/27,13:29:34,28,14
2020/09/27,13:29:44,28,15
2020/09/27,13:29:54,28,14
2020/09/27,13:30:04,29,14
2020/09/27,13:30:14,28,14
2020/09/27,13:30:24,29,15
2020/09/27,13:30:34,28,14
2020/09/27,13:30:44,28,14
2020/09/27,13:30:54,28,14
2020/09/27,13:31:04,28,13
2020/09/27,13:31:14,30,12
2020/09/27,13:31:24,29,12
2020/09/27,13:31:34,28,15
2020/09/27,13:31:44,28,18
2020/09/27,13:31:54,28,20
2020/09/27,13:32:04,27,18
2020/09/27,13:32:14,28,20
2020/09/27,13:32:24,28,17
2020/09/27,13:32:34,27,19
2020/09/27,13:32:44,32,18
2020/09/27,13:32:54,28,17
2020/09/27,13:33:04,28,17
2020/09/27,13:33:14,28,16
2020/09/27,13:33:24,33,16
2020/09/27,13:33:34,28,15
2020/09/27,13:33:44,29,14
2020/09/27,13:33:54,30,15
2020/09/27,13:34:04,28,15
2020/09/27,13:34:14,28,15
2020/09/27,13:34:24,28,15
2020/09/27,13:34:34,27,13
2020/09/27,13:34:44,29,14
2020/09/27,13:34:54,27,14
2020/09/27,13:35:04,28,13
2020/09/27,13:35:14,27,13
2020/09/27,13:35:24,27,11
2020/09/27,13:35:34,27,13
2020/09/27,13:35:44,27,17
2020/09/27,13:35:54,27,17
2020/09/27,13:36:04,29,18
2020/09/27,13:36:14,28,15
2020/09/27,13:36:24,27,12
2020/09/27,13:36:34,29,13
2020/09/27,13:36:44,28,15
2020/09/27,13:36:54,28,16
2020/09/27,13:37:04,27,17
2020/09/27,13:37:14,28,16
2020/09/27,13:37:24,29,15
2020/09/27,13:37:34,27,17
2020/09/27,13:37:44,28,22
